# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  .4370735042
  .1050000000  .4216000968
  .1100000000  .4044435059
  .1150000000  .3861132375
  .1200000000  .3670245487
  .1250000000  .3474903418
  .1300000000  .3279415899
  .1350000000  .3085505580
  .1400000000  .2895761904
  .1450000000  .2711508828
  .1500000000  .2534013358
  .1550000000  .2364224851
  .1600000000  .2202731414
  .1650000000  .2049632006
  .1700000000  .1905049994
  .1750000000  .1769085673
  .1800000000  .1641948531
  .1850000000  .1522978337
  .1900000000  .1411892945
  .1950000000  .1308362204
  .2000000000  .1212020775
  .2050000000  .1122479689
  .2100000000  .1039336580
  .2150000000  .0962184513
  .2200000000  .0890619429
  .2250000000  .0824246243
  .2300000000  .0762864211
  .2350000000  .0706330367
  .2400000000  .0653936438
  .2450000000  .0605344271
  .2500000000  .0560239353
  .2550000000  .0518331388
  .2600000000  .0479852022
  .2650000000  .0444360584
  .2700000000  .0411302541
  .2750000000  .0380469321
  .2800000000  .0352212796
  .2850000000  .0326116088
  .2900000000  .0301677811
  .2950000000  .0278999567
  .3000000000  .0258322963
  .3050000000  .0238864724
  .3100000000  .0220780184
  .3150000000  .0204294807
  .3200000000  .0188696144
  .3250000000  .0174375794
  .3300000000  .0161121957
  .3350000000  .0148511974
  .3400000000  .0137263253
  .3450000000  .0126504855
  .3500000000  .0116641891
  .3550000000  .0107467364
  .3600000000  .0098840308
  .3650000000  .0091019443
  .3700000000  .0083495187
  .3750000000  .0076831048
  .3800000000  .0070349311
  .3850000000  .0064616661
  .3900000000  .0059061869
  .3950000000  .0054130291
  .4000000000  .0049373098
  .4050000000  .0045160939
  .4100000000  .0041092028
  .4150000000  .0037528492
  .4200000000  .0034055648
  .4250000000  .0031080016
  .4300000000  .0028139188
  .4350000000  .0025686397
  .4400000000  .0023275285
  .4450000000  .0021239280
  .4500000000  .0019316423
  .4550000000  .0017648228
  .4600000000  .0016180780
  .4650000000  .0014838005
  .4700000000  .0013801707
  .4750000000  .0012776375
  .4800000000  .0012444920
  .4850000000  .0011888275
  .4900000000  .0011491601
  .4950000000  .0011253973
  .5000000000  .0011174827
  .5050000000  .0011253973
  .5100000000  .0011491601
  .5150000000  .0011888275
  .5200000000  .0012444920
  .5250000000  .0012776375
  .5300000000  .0013801707
  .5350000000  .0014838005
  .5400000000  .0016180780
  .5450000000  .0017648228
  .5500000000  .0019316423
  .5550000000  .0021239280
  .5600000000  .0023275285
  .5650000000  .0025686397
  .5700000000  .0028139188
  .5750000000  .0031080016
  .5800000000  .0034055648
  .5850000000  .0037528492
  .5900000000  .0041092028
  .5950000000  .0045160939
  .6000000000  .0049373098
  .6050000000  .0054130291
  .6100000000  .0059061869
  .6150000000  .0064616661
  .6200000000  .0070349311
  .6250000000  .0076831048
  .6300000000  .0083495187
  .6350000000  .0091019443
  .6400000000  .0098840308
  .6450000000  .0107467364
  .6500000000  .0116641891
  .6550000000  .0126504855
  .6600000000  .0137263253
  .6650000000  .0148511974
  .6700000000  .0161121957
  .6750000000  .0174375794
  .6800000000  .0188696144
  .6850000000  .0204294807
  .6900000000  .0220780184
  .6950000000  .0238864724
  .7000000000  .0258322963
  .7050000000  .0278999567
  .7100000000  .0301677811
  .7150000000  .0326116088
  .7200000000  .0352212796
  .7250000000  .0380469321
  .7300000000  .0411302541
  .7350000000  .0444360584
  .7400000000  .0479852022
  .7450000000  .0518331388
  .7500000000  .0560239353
  .7550000000  .0605344271
  .7600000000  .0653936438
  .7650000000  .0706330367
  .7700000000  .0762864211
  .7750000000  .0824246243
  .7800000000  .0890619429
  .7850000000  .0962184513
  .7900000000  .1039336580
  .7950000000  .1122479689
  .8000000000  .1212020775
  .8050000000  .1308362204
  .8100000000  .1411892945
  .8150000000  .1522978337
  .8200000000  .1641948531
  .8250000000  .1769085673
  .8300000000  .1905049994
  .8350000000  .2049632006
  .8400000000  .2202731414
  .8450000000  .2364224851
  .8500000000  .2534013358
  .8550000000  .2711508828
  .8600000000  .2895761904
  .8650000000  .3085505580
  .8700000000  .3279415899
  .8750000000  .3474903418
  .8800000000  .3670245487
  .8850000000  .3861132375
  .8900000000  .4044435059
  .8950000000  .4216000968
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
