                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sz> (spin axis)
       -1.000000000000000        0.120836518734517        0.033002058964224        0.087834459770292        0.027416200403034
       -0.998000000000000        0.122216146368831        0.033201371451624        0.089014774917207        0.027906701732791
       -0.996000000000000        0.123623307529157        0.033403230975981        0.090220076553176        0.028408422788597
       -0.994000000000000        0.125058699454477        0.033607681534385        0.091451017920092        0.028921668192854
       -0.992000000000000        0.126523040405438        0.033814768071764        0.092708272333674        0.029446752130955
       -0.990000000000000        0.128017070385197        0.034024536495834        0.093992533889364        0.029983998696765
       -0.988000000000000        0.129541551901129        0.034237033693190        0.095304518207939        0.030533742257374
       -0.986000000000000        0.131097270748722        0.034452307570587        0.096644963178135        0.031096327803774
       -0.984000000000000        0.132685036828421        0.034670407062106        0.098014629766315        0.031672111352105
       -0.982000000000000        0.134305685014303        0.034891382176004        0.099414302838299        0.032261460331147
       -0.980000000000000        0.135960076011304        0.035115283999818        0.100844792011487        0.032864754005834
       -0.978000000000000        0.137649097291153        0.035342164735331        0.102306932555823        0.033482383910246
       -0.976000000000000        0.139373664041120        0.035572077737783        0.103801586303337        0.034114754282777
       -0.974000000000000        0.141134720172942        0.035805077527038        0.105329642645904        0.034762282559433
       -0.972000000000000        0.142933239332908        0.036041219825213        0.106892019507695        0.035425399841241
       -0.970000000000000        0.144770226006439        0.036280561593074        0.108489664413365        0.036104551410146
       -0.968000000000000        0.146646716608313        0.036523161045020        0.110123555563294        0.036800197259137
       -0.966000000000000        0.148563780675570        0.036769077697191        0.111794702978379        0.037512812640594
       -0.964000000000000        0.150522522067461        0.037018372394461        0.113504149673000        0.038242888639269
       -0.962000000000000        0.152524080228376        0.037271107337898        0.115252972890478        0.038990932776290
       -0.960000000000000        0.154569631508781        0.037527346139090        0.117042285369692        0.039757469615301
       -0.958000000000000        0.156660390521692        0.037787153824315        0.118873236697377        0.040543041436531
       -0.956000000000000        0.158797611591164        0.038050596901426        0.120747014689738        0.041348208894156
       -0.954000000000000        0.160982590213464        0.038317743378896        0.122664846834569        0.042173551727837
       -0.952000000000000        0.163216664627283        0.038588662817145        0.124628001810138        0.043019669496497
       -0.950000000000000        0.165501217410695        0.038863426359550        0.126637791051144        0.043887182345797
       -0.948000000000000        0.167837677165096        0.039142106774830        0.128695570390267        0.044776731807718
       -0.946000000000000        0.170227520271474        0.039424778503698        0.130802741767776        0.045688981632039
       -0.944000000000000        0.172672272709620        0.039711517695421        0.132960755014200        0.046624618659389
       -0.942000000000000        0.175173511976340        0.040002402265163        0.135171109711177        0.047584353723007
       -0.940000000000000        0.177732869037222        0.040297511917193        0.137435357120029        0.048568922601418
       -0.938000000000000        0.180352030441082        0.040596928219755        0.139755102221327        0.049579087000786
       -0.936000000000000        0.183032740434133        0.040900734627161        0.142132005806972        0.050615635589906
       -0.934000000000000        0.185776803249682        0.041209016556877        0.144567786692805        0.051679385067964
       -0.932000000000000        0.188586085420990        0.041521861408052        0.147064224012938        0.052771181302443
       -0.930000000000000        0.191462518264117        0.041839358652590        0.149623159611527        0.053891900479469
       -0.928000000000000        0.194408100405479        0.042161599849054        0.152246500556425        0.055042450353686
       -0.926000000000000        0.197424900471751        0.042488678734314        0.154936221737437        0.056223771501562
       -0.924000000000000        0.200515059875157        0.042820691261525        0.157694368613631        0.057436838676053
       -0.922000000000000        0.203680795689750        0.043157735657402        0.160523060032348        0.058682662187473
       -0.920000000000000        0.206924403718137        0.043499912486972        0.163424491231165        0.059962289372096
       -0.918000000000000        0.210248261658647        0.043847324732383        0.166400936926264        0.061276806096941
       -0.916000000000000        0.213654832383493        0.044200077826725        0.169454754556768        0.062627338365021
       -0.914000000000000        0.217146667419871        0.044558279740763        0.172588387679109        0.064015053969173
       -0.912000000000000        0.220726410553719        0.044922041047413        0.175804369506306        0.065441164229446
       -0.910000000000000        0.224396801584480        0.045291474992811        0.179105326591669        0.066906925799429
       -0.908000000000000        0.228160680277084        0.045666697560367        0.182493982716716        0.068413642578175
       -0.906000000000000        0.232020990447091        0.046047827553345        0.185973162893745        0.069962667670200
       -0.904000000000000        0.235980784278120        0.046434986663726        0.189545797614394        0.071555405475334
       -0.902000000000000        0.240043226799915        0.046828299565468        0.193214927234447        0.073193313834490
       -0.900000000000000        0.244211600564225        0.047227893972366        0.196983706591860        0.074877906309747
       -0.898000000000000        0.248489310548442        0.047633900742642        0.200855409805800        0.076610754531579
       -0.896000000000000        0.252879889268701        0.048046453947957        0.204833435320744        0.078393490686393
       -0.894000000000000        0.257387002123560        0.048465690972417        0.208921311151143        0.080227810089363
       -0.892000000000000        0.262014452973617        0.048891752603294        0.213122700370323        0.082115473883514
       -0.890000000000000        0.266766189974628        0.049324783113910        0.217441406860718        0.084058311873404
       -0.888000000000000        0.271646311671388        0.049764930367519        0.221881381303870        0.086058225468175
       -0.886000000000000        0.276659073355268        0.050212345915160        0.226446727440108        0.088117190762474
       -0.884000000000000        0.281808893719512        0.050667185093901        0.231141708625611        0.090237261765855
       -0.882000000000000        0.287100361804885        0.051129607135368        0.235970754669517        0.092420573767074
       -0.880000000000000        0.292538244258300        0.051599775279276        0.240938468979024        0.094669346849874
       -0.878000000000000        0.298127492869601        0.052077856858356        0.246049636011245        0.096985889576444
       -0.876000000000000        0.303873252534802        0.052564023448449        0.251309229086353        0.099372602818952
       -0.874000000000000        0.309780869465738        0.053058450957801        0.256722418507938        0.101831983775069
       -0.872000000000000        0.315855899821607        0.053561319760915        0.262294580060693        0.104366630149889
