# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  4.805695618
  .1050000000  4.483418696
  .1100000000  4.233066018
  .1150000000  4.020899860
  .1200000000  3.826905759
  .1250000000  3.638902446
  .1300000000  3.451810469
  .1350000000  3.262820581
  .1400000000  3.072908641
  .1450000000  2.882339650
  .1500000000  2.693733677
  .1550000000  2.508397077
  .1600000000  2.328178664
  .1650000000  2.154490372
  .1700000000  1.988347917
  .1750000000  1.830643376
  .1800000000  1.682314956
  .1850000000  1.543251695
  .1900000000  1.413531013
  .1950000000  1.293068466
  .2000000000  1.181644752
  .2050000000  1.078933201
  .2100000000  .9845262789
  .2150000000  .8979600576
  .2200000000  .8187359673
  .2250000000  .7463394344
  .2300000000  .6805084473
  .2350000000  .6210405914
  .2400000000  .5669300372
  .2450000000  .5176896471
  .2500000000  .4728665395
  .2550000000  .4320450799
  .2600000000  .3954968726
  .2650000000  .3625845442
  .2700000000  .3325557736
  .2750000000  .3051267379
  .2800000000  .2806979624
  .2850000000  .2587003405
  .2900000000  .2385105276
  .2950000000  .2202318064
  .3000000000  .2040869832
  .3050000000  .1891709147
  .3100000000  .1756460482
  .3150000000  .1637055772
  .3200000000  .1525917228
  .3250000000  .1426882715
  .3300000000  .1337483696
  .3350000000  .1253688048
  .3400000000  .1181871318
  .3450000000  .1113941129
  .3500000000  .1053434121
  .3550000000  .0998318777
  .3600000000  .0947438400
  .3650000000  .0902640290
  .3700000000  .0859940873
  .3750000000  .0823432556
  .3800000000  .0788080216
  .3850000000  .0757827491
  .3900000000  .0728647895
  .3950000000  .0703470843
  .4000000000  .0679304801
  .4050000000  .0658441993
  .4100000000  .0638366988
  .4150000000  .0621184132
  .4200000000  .0604469347
  .4250000000  .0590443974
  .4300000000  .0576582645
  .4350000000  .0565220058
  .4400000000  .0554057615
  .4450000000  .0544718538
  .4500000000  .0535924870
  .4550000000  .0528315292
  .4600000000  .0521638781
  .4650000000  .0515523057
  .4700000000  .0510784495
  .4750000000  .0506096077
  .4800000000  .0507067585
  .4850000000  .0504703980
  .4900000000  .0503024402
  .4950000000  .0502020142
  .5000000000  .0501685970
  .5050000000  .0502020142
  .5100000000  .0503024402
  .5150000000  .0504703980
  .5200000000  .0507067585
  .5250000000  .0506096077
  .5300000000  .0510784495
  .5350000000  .0515523057
  .5400000000  .0521638781
  .5450000000  .0528315292
  .5500000000  .0535924870
  .5550000000  .0544718538
  .5600000000  .0554057615
  .5650000000  .0565220058
  .5700000000  .0576582645
  .5750000000  .0590443974
  .5800000000  .0604469347
  .5850000000  .0621184132
  .5900000000  .0638366988
  .5950000000  .0658441993
  .6000000000  .0679304801
  .6050000000  .0703470843
  .6100000000  .0728647895
  .6150000000  .0757827491
  .6200000000  .0788080216
  .6250000000  .0823432556
  .6300000000  .0859940873
  .6350000000  .0902640290
  .6400000000  .0947438400
  .6450000000  .0998318777
  .6500000000  .1053434121
  .6550000000  .1113941129
  .6600000000  .1181871318
  .6650000000  .1253688048
  .6700000000  .1337483696
  .6750000000  .1426882715
  .6800000000  .1525917228
  .6850000000  .1637055772
  .6900000000  .1756460482
  .6950000000  .1891709147
  .7000000000  .2040869832
  .7050000000  .2202318064
  .7100000000  .2385105276
  .7150000000  .2587003405
  .7200000000  .2806979624
  .7250000000  .3051267379
  .7300000000  .3325557736
  .7350000000  .3625845442
  .7400000000  .3954968726
  .7450000000  .4320450799
  .7500000000  .4728665395
  .7550000000  .5176896471
  .7600000000  .5669300372
  .7650000000  .6210405914
  .7700000000  .6805084473
  .7750000000  .7463394344
  .7800000000  .8187359673
  .7850000000  .8979600576
  .7900000000  .9845262789
  .7950000000  1.078933201
  .8000000000  1.181644752
  .8050000000  1.293068466
  .8100000000  1.413531013
  .8150000000  1.543251695
  .8200000000  1.682314956
  .8250000000  1.830643376
  .8300000000  1.988347917
  .8350000000  2.154490372
  .8400000000  2.328178664
  .8450000000  2.508397077
  .8500000000  2.693733677
  .8550000000  2.882339650
  .8600000000  3.072908641
  .8650000000  3.262820581
  .8700000000  3.451810469
  .8750000000  3.638902446
  .8800000000  3.826905759
  .8850000000  4.020899860
  .8900000000  4.233066018
  .8950000000  4.483418696
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
