                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sz> (spin axis)
       -1.000000000000000        0.120995084069247        0.032984615940341        0.088010468128906        0.027512926094282
       -0.998000000000000        0.122377635700947        0.033181532590713        0.089196103110234        0.028007285259760
       -0.996000000000000        0.123787752656769        0.033380954854743        0.090406797802025        0.028512921473641
       -0.994000000000000        0.125226132142974        0.033582926986525        0.091643205156448        0.029030139084962
       -0.992000000000000        0.126693492338453        0.033787494209827        0.092905998128626        0.029559251959399
       -0.990000000000000        0.128190573119168        0.033994702731986        0.094195870387182        0.030100583827598
       -0.988000000000000        0.129718136805141        0.034204599766124        0.095513537039017        0.030654468636447
       -0.986000000000000        0.131276968939057        0.034417233564112        0.096859735374946        0.031221250905417
       -0.984000000000000        0.132867879130930        0.034632653436309        0.098235225694621        0.031801286129156
       -0.982000000000000        0.134491701857822        0.034850909774609        0.099640792083213        0.032394941154302
       -0.980000000000000        0.136149297379377        0.035072054089272        0.101077243290105        0.033002594600417
       -0.978000000000000        0.137841552644124        0.035296139028022        0.102545413616103        0.033624637294041
       -0.976000000000000        0.139569382226940        0.035523218407440        0.104046163819500        0.034261472706030
       -0.974000000000000        0.141333729338285        0.035753347244037        0.105580382094248        0.034913517425105
       -0.972000000000000        0.143135566848340        0.035986581782926        0.107148985065413        0.035581201641243
       -0.970000000000000        0.144975898336994        0.036222979521258        0.108752918815736        0.036264969647239
       -0.968000000000000        0.146855759238261        0.036462599254532        0.110393159983730        0.036965280364599
       -0.966000000000000        0.148776217979850        0.036705501095018        0.112070716884832        0.037682607894907
       -0.964000000000000        0.150738377204217        0.036951746519900        0.113786630684317        0.038417442082208
       -0.962000000000000        0.152743375002908        0.037201398385571        0.115541976617337        0.039170289115883
       -0.960000000000000        0.154792386246384        0.037454520980448        0.117337865265935        0.039941672142743
       -0.958000000000000        0.156886623934015        0.037711180057085        0.119175443876929        0.040732131909922
       -0.956000000000000        0.159027340627610        0.037971442863892        0.121055897763717        0.041542227449913
       -0.954000000000000        0.161215829895214        0.038235378183638        0.122980451711576        0.042372536763969
       -0.952000000000000        0.163453427885914        0.038503056385891        0.124950371500023        0.043223657557066
       -0.950000000000000        0.165741514921507        0.038774549450338        0.126966965471169        0.044096208010416
       -0.948000000000000        0.168081517155325        0.039049931016351        0.129031586138973        0.044990827561311
       -0.946000000000000        0.170474908329068        0.039329276425233        0.131145631903836        0.045908177739301
       -0.944000000000000        0.172923211576588        0.039612662766866        0.133310548809722        0.046848943021428
       -0.942000000000000        0.175428001335770        0.039900168922332        0.135527832413438        0.047813831745553
       -0.940000000000000        0.177990905288197        0.040191875603202        0.137799029684995        0.048803577040897
       -0.938000000000000        0.180613606441944        0.040487865413272        0.140125741028672        0.049818937807700
       -0.936000000000000        0.183297845272454        0.040788222887891        0.142509622384563        0.050860699748336
       -0.934000000000000        0.186045421954459        0.041093034540231        0.144952387414228        0.051929676436999
       -0.932000000000000        0.188858198702166        0.041402388929971        0.147455809772195        0.053026710421112
       -0.930000000000000        0.191738102202778        0.041716376700796        0.150021725501982        0.054152674400593
       -0.928000000000000        0.194687126145283        0.042035090638708        0.152652035506575        0.055308472433933
       -0.926000000000000        0.197707333899595        0.042358625727286        0.155348708172309        0.056495041222511
       -0.924000000000000        0.200800861248455        0.042687079209306        0.158113782039149        0.057713351414921
       -0.922000000000000        0.203969919312950        0.043020550645347        0.160949368667603        0.058964409011128
       -0.920000000000000        0.207216797527805        0.043359141965110        0.163857655562696        0.060249256798793
       -0.918000000000000        0.210543866831839        0.043702957544390        0.166840909287449        0.061568975871530
       -0.916000000000000        0.213953582920527        0.044052104255568        0.169901478664958        0.062924687204695
       -0.914000000000000        0.217448489696989        0.044406691544989        0.173041798152000        0.064317553303505
       -0.912000000000000        0.221031222845330        0.044766831493227        0.176264391352104        0.065748779929439
       -0.910000000000000        0.224704513586716        0.045132638879845        0.179571874706871        0.067219617913513
       -0.908000000000000        0.228471192572337        0.045504231272454        0.182966961299884        0.068731365013715
       -0.906000000000000        0.232334193985771        0.045881729083384        0.186452464902387        0.070285367909501
       -0.904000000000000        0.236296559794295        0.046265255651174        0.190031304143121        0.071883024245974
       -0.902000000000000        0.240361444218571        0.046654937318444        0.193706506900127        0.073525784790842
       -0.900000000000000        0.244532118372504        0.047050903515405        0.197481214857099        0.075215155670847
       -0.898000000000000        0.248811975149892        0.047453286836869        0.201358688313023        0.076952700738077
       -0.896000000000000        0.253204534292743        0.047862223131280        0.205342311161463        0.078740044015091
       -0.894000000000000        0.257713447703667        0.048277851585991        0.209435596117676        0.080578872265843
       -0.892000000000000        0.262342504994414        0.048700314816970        0.213642190177444        0.082470937680237
       -0.890000000000000        0.267095639287569        0.049129758959400        0.217965880328169        0.084418060684385
       -0.888000000000000        0.271976933268294        0.049566333775186        0.222410599493108        0.086422132858961
       -0.886000000000000        0.276990625514358        0.050010192727113        0.226980432787245        0.088485120030066
       -0.884000000000000        0.282141117103795        0.050461493107167        0.231679623996628        0.090609065444730
       -0.882000000000000        0.287432978519670        0.050920396115894        0.236512582403776        0.092796093143941
       -0.880000000000000        0.292870956866703        0.051387066990708        0.241483889875995        0.095048411442643
       -0.878000000000000        0.298459983391870        0.051861675096578        0.246598308295292        0.097368316599357
       -0.876000000000000        0.304205181349855        0.052344394051624        0.251860787298231        0.099758196623303
       -0.874000000000000        0.310111874222420        0.052835401835037        0.257276472387383        0.102220535276173
       -0.872000000000000        0.316185594280684        0.053334880918317        0.262850713362367        0.104757916222025
