                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sx> (spin axis)         <Sy> (spin axis)         <Sz> (spin axis)
       -1.000000000000000        0.092878516290033        0.021272428233481        0.071606088056552        0.000000000000000        0.000000000000000        0.025166829911535
       -0.998000000000000        0.094094243164263        0.021426340330633        0.072667902833630        0.000000000000000        0.000000000000000        0.025620781251498
       -0.996000000000000        0.095334824050140        0.021582318943131        0.073752505107009        0.000000000000000        0.000000000000000        0.026085093081939
       -0.994000000000000        0.096600892400271        0.021740401592750        0.074860490807521        0.000000000000000        0.000000000000000        0.026560044607385
       -0.992000000000000        0.097893100757522        0.021900626623847        0.075992474133676        0.000000000000000        0.000000000000000        0.027045923754914
       -0.990000000000000        0.099212121413140        0.022063033221872        0.077149088191268        0.000000000000000        0.000000000000000        0.027543027484698
       -0.988000000000000        0.100558647094103        0.022227661436187        0.078330985657916        0.000000000000000        0.000000000000000        0.028051662110864
       -0.986000000000000        0.101933391676315        0.022394552199607        0.079538839476708        0.000000000000000        0.000000000000000        0.028572143638551
       -0.984000000000000        0.103337090927641        0.022563747350883        0.080773343576759        0.000000000000000        0.000000000000000        0.029104798112938
       -0.982000000000000        0.104770503274664        0.022735289656117        0.082035213618547        0.000000000000000        0.000000000000000        0.029649961981215
       -0.980000000000000        0.106234410607793        0.022909222833506        0.083325187774286        0.000000000000000        0.000000000000000        0.030207982470390
       -0.978000000000000        0.107729619111458        0.023085591574751        0.084644027536707        0.000000000000000        0.000000000000000        0.030779217980978
       -0.976000000000000        0.109256960131495        0.023264441570701        0.085992518560794        0.000000000000000        0.000000000000000        0.031364038495047
       -0.974000000000000        0.110817291074739        0.023445819535228        0.087371471539511        0.000000000000000        0.000000000000000        0.031962826002142
       -0.972000000000000        0.112411496347917        0.023629773231386        0.088781723116531        0.000000000000000        0.000000000000000        0.032575974942572
       -0.970000000000000        0.114040488329324        0.023816351496771        0.090224136832553        0.000000000000000        0.000000000000000        0.033203892667891
       -0.968000000000000        0.115705208386606        0.024005604271444        0.091699604115162        0.000000000000000        0.000000000000000        0.033846999921859
       -0.966000000000000        0.117406627928587        0.024197582624220        0.093209045304367        0.000000000000000        0.000000000000000        0.034505731340074
       -0.964000000000000        0.119145749507141        0.024392338782168        0.094753410724973        0.000000000000000        0.000000000000000        0.035180535971402
       -0.962000000000000        0.120923607957848        0.024589926158744        0.096333681799105        0.000000000000000        0.000000000000000        0.035871877820180
       -0.960000000000000        0.122741271591780        0.024790399384219        0.097950872207561        0.000000000000000        0.000000000000000        0.036580236411671
       -0.958000000000000        0.124599843435382        0.024993814336285        0.099606029099097        0.000000000000000        0.000000000000000        0.037306107381406
       -0.956000000000000        0.126500462520424        0.025200228171523        0.101300234348902        0.000000000000000        0.000000000000000        0.038050003088690
       -0.954000000000000        0.128444305228690        0.025409699357238        0.103034605871452        0.000000000000000        0.000000000000000        0.038812453257107
       -0.952000000000000        0.130432586693246        0.025622287705966        0.104810298987280        0.000000000000000        0.000000000000000        0.039594005640657
       -0.950000000000000        0.132466562257228        0.025838054408174        0.106628507849054        0.000000000000000        0.000000000000000        0.040395226720440
       -0.948000000000000        0.134547528994725        0.026057062068810        0.108490466925915        0.000000000000000        0.000000000000000        0.041216702428553
       -0.946000000000000        0.136676827293601        0.026279374741727        0.110397452551874        0.000000000000000        0.000000000000000        0.042059038905073
       -0.944000000000000        0.138855842510086        0.026505057968384        0.112350784541702        0.000000000000000        0.000000000000000        0.042922863286659
       -0.942000000000000        0.141086006688768        0.026734178814760        0.114351827874008        0.000000000000000        0.000000000000000        0.043808824529624
       -0.940000000000000        0.143368800357743        0.026966805910686        0.116401994447057        0.000000000000000        0.000000000000000        0.044717594268185
       -0.938000000000000        0.145705754399842        0.027203009490670        0.118502744909172        0.000000000000000        0.000000000000000        0.045649867709251
       -0.936000000000000        0.148098452004728        0.027442861433583        0.120655590571145        0.000000000000000        0.000000000000000        0.046606364568781
       -0.934000000000000        0.150548530706311        0.027686435306775        0.122862095399536        0.000000000000000        0.000000000000000        0.047587830046380
       -0.932000000000000        0.153057684504260        0.027933806408562        0.125123878095698        0.000000000000000        0.000000000000000        0.048595035843568
       -0.930000000000000        0.155627666078975        0.028185051813067        0.127442614265907        0.000000000000000        0.000000000000000        0.049628781226420
       -0.928000000000000        0.158260289104809        0.028440250415849        0.129820038688960        0.000000000000000        0.000000000000000        0.050689894136555
       -0.926000000000000        0.160957430662132        0.028699482982213        0.132257947679919        0.000000000000000        0.000000000000000        0.051779232348853
       -0.924000000000000        0.163721033751651        0.028962832192897        0.134758201558754        0.000000000000000        0.000000000000000        0.052897684682928
       -0.922000000000000        0.166553109924802        0.029230382697020        0.137322727227782        0.000000000000000        0.000000000000000        0.054046172265381
       -0.920000000000000        0.169455742023703        0.029502221160901        0.139953520862802        0.000000000000000        0.000000000000000        0.055225649850950
       -0.918000000000000        0.172431087045408        0.029778436320729        0.142652650724679        0.000000000000000        0.000000000000000        0.056437107201975
       -0.916000000000000        0.175481379130668        0.030059119037148        0.145422260093520        0.000000000000000        0.000000000000000        0.057681570528186
       -0.914000000000000        0.178608932683842        0.030344362349182        0.148264570334660        0.000000000000000        0.000000000000000        0.058960103992739
       -0.912000000000000        0.181816145632669        0.030634261532521        0.151181884100148        0.000000000000000        0.000000000000000        0.060273811283814
       -0.910000000000000        0.185105502832120        0.030928914156261        0.154176588675859        0.000000000000000        0.000000000000000        0.061623837259799
       -0.908000000000000        0.188479579616415        0.031228420144155        0.157251159472260        0.000000000000000        0.000000000000000        0.063011369664053
